
Time Stamp,Location,Radius,Time Elapsed,# of Outputs,Exception Thrown
2018-06-28 13:29:30.411897,Location 7,1500,0.913895845413208,0,False
2018-06-28 13:29:31.325865,Location 8,1500,0.8953111171722412,1,False
2018-06-28 13:29:32.221260,Location 9,1500,1.4656331539154053,2,False
2018-06-28 13:29:33.687693,Location 10,1500,1.056121826171875,3,False
2018-06-28 13:29:34.744628,Location 11,1500,1.1142630577087402,2,False
2018-06-28 13:29:35.858998,Location 12,1500,1.0242340564727783,0,False
2018-06-28 13:29:36.883303,Location 13,1500,1.1255991458892822,0,False
2018-06-28 13:29:38.008968,Location 14,1500,1.1271212100982666,5,False
2018-06-28 13:29:39.145794,Location 1,1750,0.9119422435760498,10,False
2018-06-28 13:29:40.059127,Location 2,1750,0.8532600402832031,0,False
2018-06-28 13:29:40.912471,Location 3,1750,0.9891588687896729,0,False
2018-06-28 13:29:41.901695,Location 4,1750,1.2272818088531494,2,False
2018-06-28 13:29:43.129767,Location 5,1750,1.572559118270874,3,False
2018-06-28 13:29:44.703170,Location 6,1750,0.9869539737701416,3,False
2018-06-28 13:29:45.690900,Location 7,1750,1.021700143814087,0,False
2018-06-28 13:29:46.712663,Location 8,1750,1.0268568992614746,1,False
2018-06-28 13:29:47.739602,Location 9,1750,1.1243340969085693,4,False
2018-06-28 13:29:48.864775,Location 10,1750,1.0255310535430908,3,False
2018-06-28 13:29:49.891131,Location 11,1750,1.1240522861480713,2,False
2018-06-28 13:29:51.015336,Location 12,1750,1.123668909072876,0,False
2018-06-28 13:29:52.139074,Location 13,1750,1.151845932006836,0,False
2018-06-28 13:29:53.290987,Location 14,1750,0.9181387424468994,5,False
2018-06-28 13:29:54.210281,Location 1,2000,0.9403388500213623,10,False
2018-06-28 13:29:55.151964,Location 2,2000,0.9818181991577148,0,False
2018-06-28 13:29:56.133867,Location 3,2000,1.0243377685546875,0,False
2018-06-28 13:29:57.158273,Location 4,2000,1.127342939376831,2,False
2018-06-28 13:29:58.286506,Location 5,2000,1.3319170475006104,3,False
2018-06-28 13:29:59.619217,Location 6,2000,0.9785542488098145,3,False
2018-06-28 13:30:00.598542,Location 7,2000,0.8437199592590332,0,False
2018-06-28 13:30:01.442333,Location 8,2000,1.6640572547912598,1,False
2018-06-28 13:30:03.106472,Location 9,2000,1.0151071548461914,4,False
2018-06-28 13:30:04.122398,Location 10,2000,0.9216251373291016,4,False
2018-06-28 13:30:05.044967,Location 11,2000,1.0597960948944092,2,False
2018-06-28 13:30:06.104876,Location 12,2000,0.8822250366210938,0,False
2018-06-28 13:30:06.987171,Location 13,2000,1.1271307468414307,0,False
2018-06-28 13:30:08.114366,Location 14,2000,1.1276679039001465,5,False
2018-06-28 13:30:09.243208,Location 1,2250,1.182969093322754,10,False
2018-06-28 13:30:10.427564,Location 2,2250,0.8614170551300049,0,False
2018-06-28 13:30:11.289070,Location 3,2250,1.1260223388671875,0,False
2018-06-28 13:30:12.415160,Location 4,2250,0.9676077365875244,2,False
2018-06-28 13:30:13.383586,Location 5,2250,3.7429959774017334,3,False
2018-06-28 13:30:17.127474,Location 6,2250,1.1257059574127197,3,False
2018-06-28 13:30:18.254002,Location 7,2250,1.1249899864196777,0,False
2018-06-28 13:30:19.379062,Location 8,2250,1.2290737628936768,2,False
2018-06-28 13:30:20.608941,Location 9,2250,1.1263060569763184,4,False
2018-06-28 13:30:21.736071,Location 10,2250,0.919492244720459,4,False
2018-06-28 13:30:22.656415,Location 11,2250,2.3552498817443848,2,False
2018-06-28 13:30:25.011774,Location 12,2250,1.12508225440979,0,False
2018-06-28 13:30:26.136928,Location 13,2250,0.9218590259552002,0,False
