2018-06-27 11:09:52.558938,"[250, 1.0602679252624512]","[250, 0.8765809535980225]","[250, 0.9215359687805176]","[250, 1.0160181522369385]","[250, 1.1249289512634277]","[250, 0.8378090858459473]","[250, 1.0886218547821045]","[250, 1.1250569820404053]","[250, 1.229975938796997]","[250, 0.9708929061889648]","[250, 0.8923850059509277]","[250, 0.9052169322967529]","[250, 1.1207890510559082]","[250, 1.0956511497497559]"
2018-06-27 11:10:06.830290,"[500, 1.0113091468811035]","[500, 0.9634261131286621]","[500, 0.849646806716919]","[500, 0.9343442916870117]","[500, 0.9798479080200195]","[500, 1.1288161277770996]","[500, 1.0195767879486084]","[500, 1.1004102230072021]","[500, 1.1372079849243164]","[500, 1.139063835144043]","[500, 1.0300700664520264]","[500, 1.1221590042114258]","[500, 1.6608998775482178]","[500, 1.0728468894958496]"
2018-06-27 11:10:21.986046,"[750, 1.0638172626495361]","[750, 1.0172369480133057]","[750, 0.9226717948913574]","[750, 1.031336784362793]","[750, 1.1134698390960693]","[750, 1.283919334411621]","[750, 1.0078420639038086]","[750, 1.1831870079040527]","[750, 0.9698469638824463]","[750, 0.981205940246582]","[750, 1.0246899127960205]","[750, 1.1239097118377686]","[750, 1.1280410289764404]","[750, 1.4701168537139893]"
2018-06-27 11:10:37.322506,"[1000, 1.2654621601104736]","[1000, 1.1417441368103027]","[1000, 1.293597936630249]","[1000, 0.9462869167327881]","[1000, 1.0368058681488037]","[1000, 0.9984650611877441]","[1000, 0.9457168579101562]","[1000, 0.921302080154419]","[1000, 1.0068027973175049]","[1000, 1.1415343284606934]","[1000, 0.9227769374847412]","[1000, 1.0234289169311523]","[1000, 0.9226579666137695]","[1000, 1.005350112915039]"
2018-06-27 11:10:51.900898,"[1250, 1.0000150203704834]","[1250, 0.9619810581207275]","[1250, 0.919274091720581]","[1250, 1.1749908924102783]","[1250, 1.0226078033447266]","[1250, 0.9773571491241455]","[1250, 0.8977739810943604]","[1250, 0.9445970058441162]","[1250, 1.0573608875274658]","[1250, 0.8878130912780762]","[1250, 1.164031982421875]","[1250, 1.1901371479034424]","[1250, 0.9215908050537109]","[1250, 1.126413106918335]"
2018-06-27 11:11:06.153346,"[1500, 1.124342918395996]","[1500, 0.8534131050109863]","[1500, 1.193364143371582]","[1500, 0.9226832389831543]","[1500, 1.1236519813537598]","[1500, 1.2289979457855225]","[1500, 0.9953711032867432]","[1500, 0.9501478672027588]","[1500, 1.125115156173706]","[1500, 0.9277439117431641]","[1500, 1.1194097995758057]","[1500, 1.0246210098266602]","[1500, 1.1273128986358643]","[1500, 0.9197471141815186]"
2018-06-27 11:11:20.796998,"[1750, 1.1243789196014404]","[1750, 0.9201898574829102]","[1750, 1.0234909057617188]","[1750, 0.9247040748596191]","[1750, 1.0204670429229736]","[1750, 0.9572498798370361]","[1750, 0.8826632499694824]","[1750, 0.9010162353515625]","[1750, 0.9224557876586914]","[1750, 0.8566172122955322]","[1750, 0.8644819259643555]","[1750, 0.8725130558013916]","[1750, 0.8706421852111816]","[1750, 0.8542170524597168]"
2018-06-27 11:11:33.800187,"[2000, 0.8804161548614502]","[2000, 0.8533220291137695]","[2000, 0.902454137802124]","[2000, 0.9398019313812256]","[2000, 0.8843529224395752]","[2000, 0.9248921871185303]","[2000, 0.9151968955993652]","[2000, 0.8476438522338867]","[2000, 1.067960262298584]","[2000, 0.8853371143341064]","[2000, 0.8601198196411133]","[2000, 0.8386690616607666]","[2000, 0.9694278240203857]","[2000, 0.8492169380187988]"
2018-06-27 11:11:46.426788,"[2250, 0.8837649822235107]","[2250, 1.049896001815796]","[2250, 1.1051909923553467]","[2250, 0.9214868545532227]","[2250, 0.9231998920440674]","[2250, 0.8847811222076416]","[2250, 1.0807511806488037]","[2250, 0.8972740173339844]","[2250, 0.8460028171539307]","[2250, 1.3757660388946533]","[2250, 1.155890941619873]","[2250, 2.865762948989868]","[2250, 1.0234382152557373]","[2250, 1.1569809913635254]"
2018-06-27 11:12:02.606173,"[2500, 0.9102201461791992]","[2500, 0.8676109313964844]","[2500, 0.9244580268859863]","[2500, 0.8739750385284424]","[2500, 0.8952398300170898]","[2500, 1.0790789127349854]","[2500, 0.865476131439209]","[2500, 0.954578161239624]","[2500, 1.0919411182403564]","[2500, 1.2211761474609375]","[2500, 0.9396607875823975]","[2500, 0.909153938293457]","[2500, 1.0242021083831787]","[2500, 0.8508317470550537]"
2018-06-27 11:12:16.022952,"[2750, 1.0384039878845215]","[2750, 1.1037499904632568]","[2750, 0.8247201442718506]","[2750, 0.9063332080841064]","[2750, 1.0053341388702393]","[2750, 1.0255742073059082]","[2750, 0.961475133895874]","[2750, 0.8795790672302246]","[2750, 0.9176039695739746]","[2750, 0.9185819625854492]","[2750, 0.9531440734863281]","[2750, 0.8685441017150879]","[2750, 0.8501198291778564]","[2750, 1.1197500228881836]"
2018-06-27 11:12:29.405058,"[3000, 1.0211551189422607]","[3000, 1.0487055778503418]","[3000, 0.8971078395843506]","[3000, 0.8759160041809082]","[3000, 0.9660952091217041]","[3000, 0.9717080593109131]","[3000, 0.8869209289550781]","[3000, 0.8497850894927979]","[3000, 0.9181778430938721]","[3000, 0.8803279399871826]","[3000, 1.0183978080749512]","[3000, 1.1272380352020264]","[3000, 0.9215788841247559]","[3000, 1.1261801719665527]"
2018-06-27 11:12:42.923441,"[3250, 1.12351393699646]","[3250, 1.0214779376983643]","[3250, 0.9218530654907227]","[3250, 0.9201750755310059]","[3250, 0.8727428913116455]","[3250, 0.9699618816375732]","[3250, 1.1265780925750732]","[3250, 0.921018123626709]","[3250, 1.6392056941986084]","[3250, 1.0215554237365723]","[3250, 1.0975139141082764]","[3250, 1.0940580368041992]","[3250, 1.1870758533477783]","[3250, 1.0538949966430664]"
